caldt,crsp_fundno,mtna,mret,mnav
20050630,031417,5548.900,0.002292,1.0000000
20050729,031417,5463.400,0.002521,1.0000000
20050831,031417,5506.700,0.002672,1.0000000
20050930,031417,5554.200,0.002720,1.0000000
20051031,031417,5611.500,0.002990,1.0000000
20051130,031417,5772.600,0.003050,1.0000000
20051230,031417,5754.100,0.003287,1.0000000
20060131,031417,5758.700,0.003413,1.0000000
20060228,031417,5772.200,0.003218,1.0000000
20060331,031417,5842.500,0.003664,1.0000000
20060428,031417,5884.200,0.003655,1.0000000
20060531,031417,6027.000,0.003942,1.0000000
20060630,031417,6224.200,0.003906,1.0000000
20060731,031417,6296.500,0.004187,1.0000000
20060831,031417,6359.700,0.004265,1.0000000
20060929,031417,6478.700,0.004151,1.0000000
20061031,031417,6563.500,0.004271,1.0000000
20061130,031417,6654.600,0.004134,1.0000000
20061229,031417,6648.700,0.004298,1.0000000
20070131,031417,6695.000,0.004288,1.0000000
20070228,031417,6796.100,0.003875,1.0000000
20070330,031417,6932.600,0.004286,1.0000000
20070430,031417,6927.100,0.004139,1.0000000
20070531,031417,7064.900,0.004305,1.0000000
20070629,031417,7161.700,0.004175,1.0000000
20070731,031417,7272.500,0.004314,1.0000000
20070831,031417,7672.300,0.004277,1.0000000
20070928,031417,7698.500,0.004073,1.0000000
20071031,031417,7954.000,0.004151,1.0000000
20071130,031417,8199.600,0.003862,1.0000000
20071231,031417,8404.900,0.003852,1.0000000
20080131,031417,8823.300,0.003660,1.0000000
20080229,031417,9241.400,0.003033,1.0000000
20080331,031417,9639.700,0.002708,1.0000000
20080430,031417,9556.500,0.002000,1.0000000
20080530,031417,9273.100,0.001800,1.0000000
20080630,031417,9125.300,0.001600,1.0000000
20080731,031417,9031.400,0.001700,1.0000000
20080829,031417,8982.200,0.001700,1.0000000
20080930,031417,9428.200,0.001700,1.0000000
20081031,031417,10310.000,0.001700,1.0000000
20081128,031417,10464.500,0.001800,1.0000000
20081231,031417,11010.300,0.001600,1.0000000
20090130,031417,11609.300,0.001200,1.0000000
20090227,031417,12013.600,0.000800,1.0000000
20090331,031417,12286.700,0.000500,1.0000000
20090430,031417,11932.400,0.000400,1.0000000
20090529,031417,11530.400,0.000300,1.0000000
20090630,031417,10744.200,0.000200,1.0000000
20090731,031417,10152.300,0.000200,1.0000000
20090831,031417,9386.400,0.000100,1.0000000
20090930,031417,8740.000,0.000129,1.0000000
20091030,031417,8380.200,0.000073,1.0000000
20091130,031417,8075.500,0.000047,1.0000000
20091231,031417,7739.200,0.000020,1.0000000
20100129,031417,7436.300,0.000009,1.0000000
20100226,031417,7226.700,0.000008,1.0000000
20100331,031417,7005.700,0.000009,1.0000000
20100430,031417,6736.800,0.000008,1.0000000
20100528,031417,6445.800,0.000009,1.0000000
20100630,031417,6289.100,0.000014,1.0000000
20100730,031417,6163.800,0.000034,1.0000000
20100831,031417,6048.000,0.000042,1.0000000
20100930,031417,5931.100,0.000033,1.0000000
20101029,031417,5812.600,0.000018,1.0000000
20101130,031417,5689.100,0.000008,1.0000000
20101231,031417,5543.300,0.000009,1.0000000
20110131,031417,5392.200,0.000009,1.0000000
20110228,031417,5297.000,0.000014,1.0000000
20110331,031417,5206.900,0.000029,1.0000000
20110429,031417,5096.900,0.000012,1.0000000
20110531,031417,5008.600,0.000009,1.0000000
20110630,031417,4939.500,0.000008,1.0000000
20110729,031417,4870.000,0.000009,1.0000000
20110831,031417,4793.900,0.000009,1.0000000
20110930,031417,4738.200,0.000008,1.0000000
20111031,031417,4692.800,0.000009,1.0000000
20111130,031417,4629.400,0.000008,1.0000000
20111230,031417,4568.400,0.000009,1.0000000
20120131,031417,4492.100,0.000009,1.0000000
20120229,031417,4416.500,0.000008,1.0000000
20120330,031417,4368.200,0.000009,1.0000000
20120430,031417,4297.000,0.000008,1.0000000
20120531,031417,4243.300,0.000009,1.0000000
20120629,031417,4189.500,0.000008,1.0000000
20120731,031417,4146.800,0.000009,1.0000000
20120831,031417,4103.200,0.000009,1.0000000
20120928,031417,4061.300,0.000008,1.0000000
20121031,031417,4013.000,0.000009,1.0000000
20121130,031417,3968.300,0.000008,1.0000000
20121231,031417,3890.000,0.000009,1.0000000
20130131,031417,3821.000,0.000009,1.0000000
20130228,031417,3782.500,0.000008,1.0000000
20130328,031417,3743.800,0.000009,1.0000000
20130430,031417,3686.200,0.000008,1.0000000
20130531,031417,3612.800,0.000013,1.0000000
20130628,031417,3576.900,0.000016,1.0000000
20130731,031417,3547.800,0.000022,1.0000000
20130830,031417,3521.700,0.000020,1.0000000
20130930,031417,3484.100,0.000068,1.0000000
20131031,031417,3440.100,0.000009,1.0000000
20131129,031417,3409.700,0.000008,1.0000000
20131231,031417,3346.100,0.000009,1.0000000
20140131,031417,3304.700,0.000009,1.0000000
20140228,031417,3277.300,0.000008,1.0000000
20140331,031417,3255.500,0.000009,1.0000000
20140430,031417,3217.900,0.000008,1.0000000
20140530,031417,3188.000,0.000009,1.0000000
20140630,031417,3157.600,0.000008,1.0000000
20140731,031417,3128.900,0.000009,1.0000000
20140829,031417,3108.400,0.000009,1.0000000
20140930,031417,3075.400,0.000008,1.0000000
20141031,031417,3048.600,0.000009,1.0000000
20141128,031417,3026.200,0.000008,1.0000000
20141231,031417,2997.900,0.000009,1.0000000
20150130,031417,2920.100,0.000009,1.0000000
20150227,031417,2895.200,0.000008,1.0000000
20150331,031417,2873.900,0.000009,1.0000000
20150430,031417,2833.300,0.000008,1.0000000
20150529,031417,2810.400,0.000009,1.0000000
20150630,031417,2967.500,0.000008,1.0000000
20150731,031417,3019.500,0.000009,1.0000000
20150831,031417,3324.700,0.000015,1.0000000
20150930,031417,3495.400,0.000037,1.0000000
20151030,031417,3674.600,0.000053,1.0000000
20151130,031417,3752.000,0.000063,1.0000000
20151231,031417,4791.600,0.000141,1.0000000
20160129,031417,5251.500,0.000214,1.0000000
20160229,031417,6100.200,0.000234,1.0000000
20160331,031417,8125.400,0.000255,1.0000000
20160429,031417,11885.200,0.000239,1.0000000
20160531,031417,14204.300,0.000243,1.0000000
20160630,031417,20092.100,0.000258,1.0000000
20160729,031417,25621.900,0.000262,1.0000000
20160831,031417,36667.300,0.000249,1.0000000
20160930,031417,48508.200,0.000243,1.0000000
20161031,031417,55649.200,0.000256,1.0000000
20161130,031417,61822.900,0.000252,1.0000000
20161230,031417,66259.100,0.000339,1.0000000
20170131,031417,69499.700,0.000400,1.0000000
20170228,031417,71347.600,0.000371,1.0000000
20170331,031417,73637.300,0.000463,1.0000000
20170428,031417,74520.700,0.000521,1.0000000
20170531,031417,74641.600,0.000604,1.0000000
20170630,031417,74922.500,0.000675,1.0000000
20170731,031417,76194.400,0.000768,1.0000000
20170831,031417,79451.600,0.000804,1.0000000
20170929,031417,80986.200,0.000807,1.0000000
20171031,031417,82157.600,0.000840,1.0000000
20171130,031417,83946.000,0.000851,1.0000000
20171229,031417,85692.800,0.000972,1.0000000
20180131,031417,85906.500,0.001069,1.0000000
20180228,031417,90985.300,0.001012,1.0000000
20180329,031417,92498.200,0.001212,1.0000000
20180430,031417,92975.700,0.001278,1.0000000
20180531,031417,93964.000,0.001405,1.0000000
20180629,031417,95449.700,0.001466,1.0000000
20180731,031417,97756.900,0.001570,1.0000000
20180831,031417,100286.800,0.001613,1.0000000
20180928,031417,102503.600,0.001614,1.0000000
20181031,031417,105519.500,0.001747,1.0000000
20181130,031417,108948.400,0.000000,1.0000000
20181231,031417,116533.900,0.001912,1.0000000
20190131,031417,116869.600,0.001961,1.0000000
20190228,031417,118641.100,0.001786,1.0000000
20190329,031417,120278.300,0.000000,1.0000000
