Date,SPY,IYR,IWN,EFA,EEM,GSG,TLT,USIG,HYG,VXX,VMFXX
10/1/2010,0.038202057,0.039334304,0.038554533,0.038055357,0.030154087,0.028990301,-0.048241909,-0.002595225,0.011706939,-0.242336629,1.80E-05
11/1/2010,0,-0.015829675,0.026095066,-0.048237153,-0.029054644,0.012305734,-0.020015879,-0.015890708,-0.019285872,-0.059351155,8.00E-06
12/1/2010,0.061271012,0.03457199,0.076142885,0.072981995,0.063867813,0.090850871,-0.043593138,-0.016713921,0.014608418,-0.236964903,9.00E-06
1/1/2011,0.023300141,0.035739815,-0.001265949,0.020954953,-0.038413057,0.031085086,-0.030811745,0.002977098,0.016502357,-0.148364843,9.00E-06
2/1/2011,0.034737344,0.045203637,0.050985954,0.035497992,-0.000436596,0.026450521,0.012935763,0.005170441,0.00784486,-0.057758306,1.40E-05
3/1/2011,-0.004205765,-0.01947838,0.010184863,-0.02388298,0.062895768,0.034912672,-0.002922124,-0.006001189,-0.005837848,-0.026838948,2.90E-05
4/1/2011,0.028961433,0.046632939,0.016051992,0.056258275,0.027326934,0.042570287,0.019103465,0.015620555,0.009678114,-0.211440273,1.20E-05
5/1/2011,-0.011214534,0.010133522,-0.016973436,-0.022061105,-0.029400024,-0.068566982,0.029822165,0.005095237,-0.004846494,-0.080742614,9.00E-06
6/1/2011,-0.021719739,-0.039808918,-0.024970079,-0.030937833,-0.019163411,-0.059553345,-0.026786678,-0.010232786,-0.01179658,-0.007045633,8.00E-06
7/1/2011,-0.020004542,0.002155905,-0.03650729,-0.023777857,-0.010294073,0.03166221,0.040595109,0.020108155,-0.002847383,0.1073794,9.00E-06
8/1/2011,-0.054975648,-0.053119296,-0.091050504,-0.08754896,-0.092549364,-0.017050256,0.093035139,0.003347286,-0.033168635,0.66424602,9.00E-06
9/1/2011,-0.074210437,-0.11621813,-0.112925837,-0.1080829,-0.178947404,-0.127204383,0.128655559,-0.001390061,-0.059070737,0.369866535,8.00E-06
10/1/2011,0.109147135,0.131896421,0.144660708,0.096274642,0.162678152,0.102683018,-0.040728524,0.013362981,0.077870298,-0.248454161,9.00E-06
11/1/2011,-0.004063762,-0.03668767,-0.00199138,-0.02176402,-0.019603113,0.015019525,0.017259234,-0.020787516,-0.030017925,0.042383464,8.00E-06
12/1/2011,0.004080344,0.03028658,0.007521072,-0.033372421,-0.05173706,-0.023971629,0.028588419,0.018984371,0.032679006,-0.150203358,9.00E-06
1/1/2012,0.04637456,0.066009504,0.0671847,0.05269535,0.109910441,0.02395394,-0.003298982,0.013674724,0.014648301,-0.244019096,9.00E-06
2/1/2012,0.043405396,-0.006935303,0.014560979,0.048331425,0.052719097,0.062185326,-0.02829953,0.004436446,0.015318486,-0.087118395,8.00E-06
3/1/2012,0.027660146,0.035916193,0.026734227,0.004207822,-0.031130183,-0.030387516,-0.0445372,-0.010996946,-0.015304418,-0.31566067,9.00E-06
4/1/2012,-0.00667568,0.025842707,-0.015211739,-0.020768799,-0.016996497,-0.003450228,0.045632824,0.006379848,0.005290958,-0.01370688,8.00E-06
5/1/2012,-0.060055725,-0.042090418,-0.060812729,-0.111441892,-0.107058274,-0.12781305,0.087623583,0.000996202,-0.037609654,0.258006082,9.00E-06
6/1/2012,0.035217197,0.044429882,0.042969353,0.046063669,0.037931042,0.006946775,-0.01880879,0.004161758,0.04010487,-0.269452437,8.00E-06
7/1/2012,0.011829541,0.023303123,-0.012501737,0.000800659,-0.000255613,0.058804171,0.035942493,0.025137408,0.004491138,-0.103221544,9.00E-06
8/1/2012,0.025052623,0.003056655,0.034527427,0.031999969,0.004089976,0.071672399,-0.015265966,0,0.006870282,-0.156158362,9.00E-06
9/1/2012,0.019906471,-0.019046169,0.028229713,0.027131813,0.052189489,-0.021424483,-0.027403695,0.001230439,-0.000324908,-0.218071258,8.00E-06
10/1/2012,-0.018198202,-0.005902412,-0.015147453,0.010943431,-0.004355197,-0.040236705,-0.006923206,0.007636962,0.003141856,0.028055509,9.00E-06
11/1/2012,0.005659623,-0.005781233,0.005218309,0.027808843,0.01555284,0.016029608,0.011592091,-0.003310369,0.004968212,-0.199675704,8.00E-06
12/1/2012,0.001829123,0.016344446,0.031557449,0.032504103,0.061258615,-0.005157712,-0.028928605,-0.010925618,0.003224024,0.073936481,9.00E-06
1/1/2013,0.051190177,0.040204091,0.059594754,0.037284539,-0.002931167,0.045745653,-0.031853446,-0.007776642,0.003427956,-0.234831796,9.00E-06
